Observation duration,Time offset (s),Media duration (s),FPS,Behavior,Behavior type,Time,Image index
1714.2,0,1804.833,30,trophalaxis,STOP,1115.5,33465
1714.2,0,1804.833,30,trophalaxis,START,1120.033,33601
1714.2,0,1804.833,30,trophalaxis,STOP,1124.833,33745
1714.2,0,1804.833,30,trophalaxis,START,1150.7,34521
1714.2,0,1804.833,30,trophalaxis,STOP,1155.033,34651
1714.2,0,1804.833,30,trophalaxis,START,1201.4,36042
1714.2,0,1804.833,30,trophalaxis,STOP,1207.867,36236
1714.2,0,1804.833,30,trophalaxis,START,1289.733,38692
1714.2,0,1804.833,30,trophalaxis,STOP,1296.933,38908
1714.2,0,1804.833,30,trophalaxis,START,1299.633,38989
1714.2,0,1804.833,30,trophalaxis,STOP,1303,39090
1714.2,0,1804.833,30,trophalaxis,START,1311.2,39336
1714.2,0,1804.833,30,trophalaxis,STOP,1315.367,39461
1714.2,0,1804.833,30,trophalaxis,START,1330.867,39926
1714.2,0,1804.833,30,trophalaxis,STOP,1337.3,40119
1714.2,0,1804.833,30,trophalaxis,START,1408.167,42245
1714.2,0,1804.833,30,trophalaxis,STOP,1414.433,42433
1714.2,0,1804.833,30,trophalaxis,START,1529.167,45875
1714.2,0,1804.833,30,trophalaxis,STOP,1533.1,45993
1714.2,0,1804.833,30,trophalaxis,START,1535.667,46070
1714.2,0,1804.833,30,trophalaxis,STOP,1545.467,46364
1714.2,0,1804.833,30,trophalaxis,START,1568.167,47045
1714.2,0,1804.833,30,trophalaxis,STOP,1572.433,47173
1714.2,0,1804.833,30,trophalaxis,START,1576.167,47285
1714.2,0,1804.833,30,trophalaxis,STOP,1583.9,47517
1714.2,0,1804.833,30,trophalaxis,START,1586,47580
1714.2,0,1804.833,30,trophalaxis,STOP,1593.367,47801
1714.2,0,1804.833,30,trophalaxis,START,1593.733,47812
1714.2,0,1804.833,30,trophalaxis,STOP,1613.367,48401
1714.2,0,1804.833,30,trophalaxis,START,1613.8,48414
1714.2,0,1804.833,30,trophalaxis,STOP,1627.067,48812
1714.2,0,1804.833,30,trophalaxis,START,1685.767,50574
1714.2,0,1804.833,30,trophalaxis,STOP,1695.733,50872
1714.2,0,1804.833,30,trophalaxis,START,1705.4,51162
1714.2,0,1804.833,30,trophalaxis,STOP,1710.4,51312
1714.2,0,1804.833,30,trophalaxis,START,1718.567,51557
1714.2,0,1804.833,30,trophalaxis,STOP,1721.3,51639
