frame,x1,y1,x2,y2,x_center,y_center,confidence,class,class_name
0,235.6998748779297,212.32391357421875,349.1434326171875,296.5074462890625,292.4216537475586,254.41567993164062,0.9939062595367432,0.0,Eye-Open
0,124.25799560546875,171.4544677734375,621.1871337890625,478.79083251953125,372.7225646972656,325.1226501464844,0.9759730696678162,4.0,Grooming-Off
0,313.5518798828125,308.296875,544.6723022460938,461.8519287109375,429.1120910644531,385.07440185546875,0.9641081690788269,3.0,Whisker-On
0,1.825042724609375,435.4203186035156,637.6002197265625,479.9566955566406,319.71263122558594,457.6885070800781,0.9487408399581909,7.0,Running
1,236.15975952148438,211.99147033691406,349.0199279785156,296.3289794921875,292.58984375,254.16022491455078,0.9947767853736877,0.0,Eye-Open
1,125.22283935546875,171.98728942871094,619.1770629882812,479.2947998046875,372.199951171875,325.6410446166992,0.9748068451881409,4.0,Grooming-Off
1,318.7843322753906,308.9220275878906,547.3622436523438,463.2506408691406,433.0732879638672,386.0863342285156,0.9562687873840332,3.0,Whisker-On
1,0.0,433.7232971191406,640.0,479.8327941894531,320.0,456.7780456542969,0.9413971900939941,7.0,Running
2,235.8021697998047,212.15621948242188,349.47161865234375,296.5089416503906,292.6368942260742,254.33258056640625,0.9941588640213013,0.0,Eye-Open
2,129.88307189941406,171.9214324951172,617.4972534179688,479.7818603515625,373.6901626586914,325.85164642333984,0.9748018980026245,4.0,Grooming-Off
2,312.3819580078125,308.56439208984375,544.007568359375,462.49371337890625,428.19476318359375,385.529052734375,0.9583287835121155,3.0,Whisker-On
2,0.0,430.14959716796875,640.0,479.7861328125,320.0,454.9678649902344,0.95391845703125,7.0,Running
3,236.0975341796875,212.25436401367188,349.5474853515625,296.55279541015625,292.822509765625,254.40357971191406,0.9936184883117676,0.0,Eye-Open
3,128.92352294921875,171.87973022460938,615.3253784179688,478.1123962402344,372.12445068359375,324.9960632324219,0.9760899543762207,4.0,Grooming-Off
3,313.2469482421875,308.80706787109375,544.2823486328125,462.31536865234375,428.7646484375,385.56121826171875,0.9639856219291687,3.0,Whisker-On
3,0.0,431.8937683105469,640.0,479.9894714355469,320.0,455.9416198730469,0.949302613735199,7.0,Running
4,236.04641723632812,212.181640625,349.4402770996094,296.81390380859375,292.74334716796875,254.49777221679688,0.9931539297103882,0.0,Eye-Open
4,129.4984893798828,171.25448608398438,620.6868286132812,479.3072204589844,375.09265899658203,325.2808532714844,0.9749225378036499,4.0,Grooming-Off
4,314.037353515625,309.015380859375,544.2514038085938,462.138671875,429.1443786621094,385.5770263671875,0.9639852046966553,3.0,Whisker-On
4,3.7625732421875,434.2205505371094,637.78759765625,479.7482604980469,320.77508544921875,456.9844055175781,0.9445514678955078,7.0,Running
5,235.70582580566406,211.8793182373047,349.4461364746094,296.88311767578125,292.5759811401367,254.38121795654297,0.9941480755805969,0.0,Eye-Open
5,123.80511474609375,170.1084747314453,622.9887084960938,480.0,373.39691162109375,325.05423736572266,0.9789568185806274,4.0,Grooming-Off
5,313.5758972167969,308.26531982421875,546.980224609375,465.9427490234375,430.27806091308594,387.1040344238281,0.9598974585533142,3.0,Whisker-On
5,3.781463623046875,436.90447998046875,638.4637451171875,479.76141357421875,321.1226043701172,458.33294677734375,0.9356851577758789,6.0,Stop
6,235.65882873535156,211.87525939941406,349.3819274902344,296.7059631347656,292.52037811279297,254.29061126708984,0.9945124983787537,0.0,Eye-Open
6,126.60098266601562,170.50552368164062,622.9017333984375,480.0,374.75135803222656,325.2527618408203,0.9781149625778198,4.0,Grooming-Off
6,313.6579284667969,308.1900329589844,545.2214965820312,462.6073303222656,429.43971252441406,385.398681640625,0.9667270183563232,3.0,Whisker-On
6,3.04620361328125,436.5085754394531,638.3239135742188,479.6944274902344,320.68505859375,458.10150146484375,0.9405842423439026,7.0,Running
7,235.85626220703125,212.01315307617188,349.21624755859375,296.60223388671875,292.5362548828125,254.3076934814453,0.9944868087768555,0.0,Eye-Open
7,126.83078002929688,172.91696166992188,623.8128662109375,480.0,375.3218231201172,326.45848083496094,0.9752147793769836,4.0,Grooming-Off
7,317.2856140136719,308.7987060546875,546.5675659179688,464.77099609375,431.9265899658203,386.78485107421875,0.9572262763977051,3.0,Whisker-On
7,2.578338623046875,435.3230895996094,637.9737548828125,479.7541198730469,320.2760467529297,457.5386047363281,0.9462277293205261,7.0,Running
8,235.88385009765625,211.84439086914062,349.215087890625,296.64453125,292.5494689941406,254.2444610595703,0.9947106242179871,0.0,Eye-Open
8,126.77418518066406,172.04725646972656,621.86572265625,480.0,374.31995391845703,326.0236282348633,0.977689802646637,4.0,Grooming-Off
8,311.85247802734375,308.3374938964844,543.2278442382812,463.2709045410156,427.5401611328125,385.80419921875,0.9666557908058167,3.0,Whisker-On
8,0.0,434.7471618652344,640.0,479.9502868652344,320.0,457.3487243652344,0.9413868188858032,7.0,Running
9,236.05081176757812,211.70458984375,349.0498352050781,296.6280517578125,292.5503234863281,254.16632080078125,0.9949496388435364,0.0,Eye-Open
9,129.63491821289062,172.2615966796875,624.942138671875,480.0,377.2885284423828,326.13079833984375,0.9757384061813354,4.0,Grooming-Off
9,319.9942626953125,309.7108459472656,546.7108764648438,465.5809020996094,433.3525695800781,387.6458740234375,0.9585522413253784,3.0,Whisker-On
9,2.724884033203125,439.3667297363281,638.2203369140625,479.7225646972656,320.4726104736328,459.5446472167969,0.925142228603363,7.0,Running
10,235.96669006347656,212.037109375,349.5367736816406,296.68243408203125,292.7517318725586,254.35977172851562,0.9938539862632751,0.0,Eye-Open
10,128.58819580078125,172.1569061279297,622.7452392578125,479.9334716796875,375.6667175292969,326.0451889038086,0.9770769476890564,4.0,Grooming-Off
10,313.4013977050781,308.5086975097656,543.1044921875,461.7643737792969,428.25294494628906,385.13653564453125,0.9630847573280334,3.0,Whisker-On
10,0.0,434.3787841796875,639.94677734375,479.9234619140625,319.973388671875,457.151123046875,0.9448891878128052,7.0,Running
11,236.11338806152344,211.8345184326172,349.1163330078125,296.29974365234375,292.61486053466797,254.06713104248047,0.9953175187110901,0.0,Eye-Open
11,127.57351684570312,171.64312744140625,624.4869384765625,480.0,376.0302276611328,325.8215637207031,0.9758485555648804,4.0,Grooming-Off
11,311.8692932128906,307.9562683105469,544.241455078125,463.4380798339844,428.0553741455078,385.6971740722656,0.9671391844749451,3.0,Whisker-On
11,0.0,434.4023132324219,640.0,479.9278869628906,320.0,457.16510009765625,0.9492743015289307,7.0,Running
12,235.98980712890625,212.07858276367188,349.08770751953125,296.2747497558594,292.53875732421875,254.17666625976562,0.9948449730873108,0.0,Eye-Open
12,123.38127136230469,171.7344207763672,623.1845703125,478.70111083984375,373.28292083740234,325.21776580810547,0.9759562015533447,4.0,Grooming-Off
12,314.77069091796875,308.5450134277344,544.404296875,462.1029357910156,429.5874938964844,385.323974609375,0.9646591544151306,3.0,Whisker-On
12,0.0,433.67938232421875,640.0,479.909423828125,320.0,456.7944030761719,0.950657844543457,7.0,Running
13,236.20169067382812,212.03695678710938,348.9869079589844,296.2253723144531,292.59429931640625,254.13116455078125,0.9948899745941162,0.0,Eye-Open
13,124.35366821289062,171.1888885498047,619.460693359375,479.05352783203125,371.9071807861328,325.12120819091797,0.9762613773345947,4.0,Grooming-Off
13,313.83612060546875,307.955322265625,544.2767944335938,461.629638671875,429.05645751953125,384.79248046875,0.9632287621498108,3.0,Whisker-On
13,0.0,433.136474609375,640.0,479.861328125,320.0,456.4989013671875,0.9490944743156433,7.0,Running
14,236.33917236328125,212.1324920654297,349.31268310546875,296.406982421875,292.825927734375,254.26973724365234,0.9942362308502197,0.0,Eye-Open
14,126.93824768066406,170.72024536132812,621.7144775390625,480.0,374.3263626098633,325.36012268066406,0.9781692028045654,4.0,Grooming-Off
14,316.402587890625,308.8666687011719,545.3040161132812,461.9488220214844,430.8533020019531,385.4077453613281,0.9549857974052429,3.0,Whisker-On
14,3.175445556640625,435.69281005859375,638.0966796875,479.80908203125,320.6360626220703,457.7509460449219,0.9451692700386047,7.0,Running
15,236.34927368164062,212.06216430664062,349.0426940917969,296.1849060058594,292.69598388671875,254.12353515625,0.9948366284370422,0.0,Eye-Open
15,126.73007202148438,171.6051025390625,620.754638671875,478.69818115234375,373.7423553466797,325.1516418457031,0.9758773446083069,4.0,Grooming-Off
15,317.4845886230469,308.510986328125,546.6956787109375,462.1385498046875,432.0901336669922,385.32476806640625,0.9577540159225464,3.0,Whisker-On
15,3.562957763671875,436.2966003417969,638.267822265625,479.7919616699219,320.91539001464844,458.0442810058594,0.9435184001922607,7.0,Running
16,236.34359741210938,212.19578552246094,348.8601379394531,296.13897705078125,292.60186767578125,254.1673812866211,0.9946689605712891,0.0,Eye-Open
16,124.22404479980469,172.1968994140625,621.620361328125,479.32403564453125,372.92220306396484,325.7604675292969,0.9752005338668823,4.0,Grooming-Off
16,317.2628173828125,309.35162353515625,547.0437622070312,463.49591064453125,432.1532897949219,386.42376708984375,0.9543197751045227,3.0,Whisker-On
16,0.0,434.3150634765625,640.0,479.873779296875,320.0,457.09442138671875,0.9443209171295166,7.0,Running
17,236.06695556640625,211.84742736816406,348.75341796875,295.91729736328125,292.4101867675781,253.88236236572266,0.9950063824653625,0.0,Eye-Open
