,class,value,class_name
0,0,0.8383953756462481,open
1,0,0.8542716958833682,open
2,0,0.8412756214332682,open
3,0,0.8369605374665153,open
4,0,0.8350814143809785,open
5,0,0.8314894942417533,open
6,0,0.8262473757522076,open
7,0,0.8227392817152123,open
8,0,0.8245937075429043,open
9,0,0.8280039212637055,open
10,0,0.8260937755534092,open
11,0,0.8315842527293208,open
12,0,0.8308979544000795,open
13,0,0.8303244496054102,open
14,0,0.8293601539115373,open
15,0,0.8324840986026234,open
16,0,0.8339415700325888,open
17,0,0.83508849771436,open
18,0,0.8319126941783115,open
19,0,0.8314098631407267,open
20,0,0.8288915658566259,open
21,0,0.8350589497374321,open
22,0,0.830202817056153,open
23,0,0.834518052226407,open
24,0,0.8299026554091371,open
25,0,0.8293622233400294,open
26,0,0.8290263901718057,open
27,0,0.832900728645851,open
28,0,0.8272115582047663,open
29,0,0.8265628490540909,open
30,0,0.8214947904709513,open
31,0,0.8191064467132014,open
32,0,0.8264855408764412,open
33,0,0.8232684886163756,open
34,0,0.81969486069709,open
35,0,0.8221384043136671,open
36,0,0.8220890743155143,open
37,0,0.8199073748758425,open
38,0,0.8220913722800822,open
39,0,0.8258634091107943,open
40,0,0.8209751036163019,open
41,0,0.8212671324010101,open
42,0,0.8198422125418563,open
43,0,0.8322190670539059,open
44,0,0.8385344473819866,open
45,0,0.8978608112637178,open
46,0,0.8831344746205491,open
47,0,0.8907585541604816,open
48,0,0.8901852235352399,open
49,0,0.8976407161122808,open
50,0,0.8963936677437748,open
51,0,0.8947813673729701,open
52,0,0.8981853355660683,open
53,0,0.8977308051868391,open
54,0,0.8972323291826015,open
55,0,0.8951065030705457,open
56,0,0.8914928846351131,open
57,0,0.8899841841506525,open
58,0,0.8912234817916771,open
59,0,0.8930641374031634,open
60,0,0.8913563735801769,open
61,0,0.8923348897388773,open
62,0,0.8883459741530435,open
63,0,0.8925329377767725,open
64,0,0.8929932040710643,open
65,0,0.8913357182195697,open
66,0,0.8935496634605525,open
67,0,0.8900854918947528,open
68,0,0.892114035101079,open
69,0,0.8902554241582818,open
70,0,0.8908789712792663,open
71,0,0.892436701859563,open
72,0,0.8930177917168562,open
73,0,0.8883458763696042,open
74,0,0.8944909382735373,open
75,0,0.8917761840049881,open
76,0,0.8936498386281807,open
77,0,0.8943363618601454,open
78,0,0.8943397524341313,open
79,0,0.8942653855044922,open
80,0,0.8945262940510922,open
81,0,0.8941731564776841,open
82,0,0.895566041927194,open
83,0,0.8926019232799028,open
84,0,0.893175362932439,open
85,0,0.8917150958162665,open
86,0,0.892064314875906,open
87,0,0.893408288965819,open
88,0,0.8925124165976094,open
89,0,0.8930716056734601,open
90,0,0.8941097874904861,open
91,0,0.8943121735317171,open
92,0,0.8811193746731119,open
93,0,0.8757018887710005,open
94,0,0.8814086659225846,open
95,0,0.8839906475546705,open
96,0,0.8807799066016796,open
97,0,0.8852782092978104,open
98,0,0.885027054676721,open
99,0,0.8843072017425554,open
100,0,0.880394390061589,open
101,0,0.8829732243791477,open
102,0,0.8816248356331834,open
103,0,0.886341309444062,open
104,0,0.8874619105716147,open
105,0,0.8826312256926362,open
106,0,0.8819272712050787,open
107,0,0.8829217103945546,open
108,0,0.8854879253022607,open
109,0,0.8862176583614152,open
110,0,0.8862031934246904,open
111,0,0.7144307778260459,open
112,0,0.7074741326012473,open
113,0,0.7076325933321134,open
114,0,0.7133876159148513,open
115,0,0.7120913210465477,open
116,0,0.7101243862837345,open
117,0,0.7093688787764336,open
118,0,0.7149095009482226,open
119,0,0.7044464582133861,open
120,0,0.71554698694228,open
121,0,0.719165615056591,open
122,0,0.7136445967291047,open
123,0,0.7166477635607559,open
124,0,0.719521460549607,open
125,0,0.7099990477647435,open
126,0,0.7119590409180074,open
127,0,0.7176822565583433,open
128,0,0.7093868289201412,open
129,0,0.7094643311153963,open
130,0,0.7209254489849257,open
131,0,0.7054789662380688,open
132,0,0.7004688247710502,open
133,0,0.7306255869654017,open
134,0,0.7111456107672487,open
135,0,0.7168615892758583,open
136,0,0.711923398101437,open
137,0,0.7129929073024035,open
138,0,0.7008407442003219,open
139,0,0.7083550774967224,open
140,0,0.7138205792918167,open
141,0,0.7296100853034808,open
142,0,0.7259885101252759,open
143,0,0.732089280270179,open
144,0,0.7340345500871583,open
145,0,0.7132953556080601,open
146,0,0.7326677569946533,open
147,0,0.7366566500893179,open
148,0,0.7263577197414928,open
149,0,0.7208441397268298,open
150,0,0.7192481874411016,open
151,0,0.7207454931989972,open
152,0,0.7175770234001535,open
153,0,0.7220603361042389,open
154,0,0.7132092216254041,open
155,0,0.7210439564841283,open
156,0,0.7116988825535769,open
157,0,0.7267323901593193,open
158,0,0.7151784230318988,open
