id,movie_name,light,group,gal4,uas,init_frame_count,cop_frame_count,courtship_duration_sec,event,duration_frame
65,240620_CTR_06_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240620-124711_936553.log_vid.avi,later,pIP10_GFP_later,pIP10,GFP,259,17500,176.6560225,1,17241
66,240620_CTR_07_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240620-125939_518512.log_vid.avi,later,pIP10_GtACR1_later,pIP10,GtACR1,1037,70245,709.1242516,1,69208
67,240620_CTR_08_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240620-131830_600128.log_vid.avi,later,pIP10_GtACR1_later,pIP10,GtACR1,258,204500,2092.72025,0,204242
68,240620_CTR_09_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240620-135402_303344.log_vid.avi,later,pIP10_GtACR1_later,pIP10,GtACR1,863,6252,55.2171205,1,5389
69,240620_CTR_10_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240620-140242_903670.log_vid.avi,later,pIP10_GtACR1_later,pIP10,GtACR1,1523,6506,51.0571521,1,4983
70,240620_CTR_11_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240620-164252_916539.log_vid.avi,later,pIP10_GtACR1_later,pIP10,GtACR1,905,35413,353.5790621,1,34508
71,240620_CTR_12_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240620-165006_192145.log_vid.avi,later,pIP10_GtACR1_later,pIP10,GtACR1,5404,188330,1874.311113,0,182926
72,240620_CTR_14_1sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240620-172436_138263.log_vid.avi,later,pIP10_GtACR1_later,pIP10,GtACR1,1072,23494,229.7420477,1,22422
73,240625_CTR_01_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240625-105142_203682.log_vid.avi,later,pIP10_GFP_later,pIP10,GFP,941,28932,286.7936082,1,27991
74,240625_CTR_02_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240625-112605_202811.log_vid.avi,later,pIP10_GFP_later,pIP10,GFP,1415,11812,106.5268481,1,10397
75,240625_CTR_03_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240625-115057_844510.log_vid.avi,later,pIP10_GFP_later,pIP10,GFP,992,15776,151.4755558,1,14784
76,240625_CTR_04_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240625-122827_781624.log_vid.avi,later,pIP10_GFP_later,pIP10,GFP,706,24091,239.6008147,1,23385
77,240627_CTR_01_0sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240627-100805_628501.log_vid.avi,event,pIP10_GFP_event,pIP10,GFP,1251,58491,586.4763311,1,57240
78,240627_CTR_02_0sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240627-102429_933649.log_vid.avi,event,pIP10_GFP_event,pIP10,GFP,1040,45050,450.9226365,1,44010
79,240627_CTR_03_0sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240627-103641_007152.log_vid.avi,event,pIP10_GFP_event,pIP10,GFP,1494,58361,582.6544036,1,56867
80,240627_CTR_04_0sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240627-104940_553519.log_vid.avi,event,pIP10_GFP_event,pIP10,GFP,516,26026,261.3733197,1,25510
81,240627_CTR_05_0sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240627-110148_392134.log_vid.avi,event,pIP10_GFP_event,pIP10,GFP,1139,186690,1901.139735,0,185551
82,240627_CTR_06_0sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240627-113426_169821.log_vid.avi,event,pIP10_GFP_event,pIP10,GFP,2305,189800,1921.05605,0,187495
83,240627_CTR_07_0sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240627-120750_218181.log_vid.avi,event,pIP10_GFP_event,pIP10,GFP,1443,55224,551.0352434,1,53781
84,240627_CTR_08_0sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240627-122108_982663.log_vid.avi,event,pIP10_GFP_event,pIP10,GFP,1297,55325,553.566683,1,54028
85,240627_CTR_09_0sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240627-123137_206090.log_vid.avi,event,pIP10_GFP_event,pIP10,GFP,753,24904,247.4494142,1,24151
86,240627_CTR_10_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240627-123909_583238.log_vid.avi,later,pIP10_GFP_later,pIP10,GFP,404,49352,501.5170959,1,48948
87,240627_CTR_12_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240627-130322_840851.log_vid.avi,later,pIP10_GFP_later,pIP10,GFP,409,56620,575.9329982,1,56211
88,240627_CTR_13_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240627-131904_839385.log_vid.avi,later,pIP10_GFP_later,pIP10,GFP,1442,24909,240.4409999,1,23467
89,240627_CTR_14_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240627-133130_693478.log_vid.avi,later,pIP10_GFP_later,pIP10,GFP,1006,7293,64.4161129,1,6287
90,240627_CTR_15_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240627-133357_899260.log_vid.avi,later,pIP10_GFP_later,pIP10,GFP,805,23232,229.7853939,1,22427
