id,movie_name,condition,light,group,gal4,init_timie_min,init_timie_sec,cop_timie_min,cop_timie_sec,latency,event
101,CTR_09_green150_fly_pattern_240416_wing_extension_w1118_GtACR1.mp4,ATR,pattern,w1118_ATR_pattern,w1118,0,14,2,29,135,1
102,EXP_10_green150_fly_pattern_240416_wing_extension_JO15-2_GtACR1.mp4,ATR,pattern,jo15_ATR_pattern,jo15,0,17,2,44,147,1
103,EXP_11_green150_fly_pattern_240416_wing_extension_JO15-2_GtACR1.mp4,ATR,pattern,jo15_ATR_pattern,jo15,0,0,1,25,85,1
104,EXP_12_green150_fly_pattern_240416_wing_extension_JO15-2_GtACR1.mp4,ATR,pattern,jo15_ATR_pattern,jo15,0,11,2,40,149,1
105,EXP_13_green150_fly_pattern_240416_wing_extension_JO15-2_GtACR1.mp4,ATR,pattern,jo15_ATR_pattern,jo15,0,2,3,23,201,1
106,EXP_14_green150_fly_pattern_240416_wing_extension_JO15-2_GtACR1.mp4,ATR,pattern,jo15_ATR_pattern,jo15,0,17,31,17,1860,0
107,EXP_16_green150_fly_pattern_240416_wing_extension_JO15-2_GtACR1.mp4,ATR,pattern,jo15_ATR_pattern,jo15,0,8,4,0,232,1
108,CTR_01_green150_fly_specific_240417_wing_extension_w1118_GtACR1.mp4,ATR,spe,w1118_ATR_spe,w1118,0,19,4,49,270,1
109,CTR_02_green150_fly_specific_240417_wing_extension_w1118_GtACR1.mp4,ATR,spe,w1118_ATR_spe,w1118,0,16,31,16,1860,0
110,CTR_03_green150_fly_specific_240417_wing_extension_w1118_GtACR1.mp4,ATR,spe,w1118_ATR_spe,w1118,0,19,2,20,121,1
111,EXP_05_green150_fly_pattern_240417_wing_extension_jo15-2_GtACR1.mp4,ATR,pattern,jo15_ATR_pattern,jo15,0,16,3,24,188,1
112,EXP_06_green150_fly_pattern_240417_wing_extension_jo15-2_GtACR1.mp4,ATR,pattern,jo15_ATR_pattern,jo15,0,15,1,33,78,1
113,EXP_07_green150_fly_pattern_240417_wing_extension_jo15-2_GtACR1.mp4,ATR,pattern,jo15_ATR_pattern,jo15,0,8,7,46,458,1
114,CTR_01_green150_fly_specific_240419_wing_extension_w1118_GtACR1.mp4,ATR,spe,w1118_ATR_spe,w1118,0,17,4,47,270,1
115,CTR_02_green150_fly_specific_240419_wing_extension_w1118_GtACR1.mp4,ATR,spe,w1118_ATR_spe,w1118,0,23,4,20,237,1
116,CTR_03_green150_fly_specific_240419_wing_extension_w1118_GtACR1.mp4,ATR,spe,w1118_ATR_spe,w1118,0,0,4,49,289,1
117,CTR_04_green150_fly_specific_240419_wing_extension_w1118_GtACR1.mp4,ATR,spe,w1118_ATR_spe,w1118,0,10,3,49,219,1
118,CTR_05_green150_fly_specific_240419_wing_extension_w1118_GtACR1.mp4,ATR,spe,w1118_ATR_spe,w1118,0,9,1,1,52,1
119,CTR_06_green150_fly_pattern_240419_wing_extension_w1118_GtACR1.mp4,ATR,pattern,w1118_ATR_pattern,w1118,0,33,1,28,55,1
120,CTR_07_green150_fly_pattern_240419_wing_extension_w1118_GtACR1.mp4,ATR,pattern,w1118_ATR_pattern,w1118,0,5,2,37,152,1
121,CTR_08_green150_fly_pattern_240419_wing_extension_w1118_GtACR1.mp4,ATR,pattern,w1118_ATR_pattern,w1118,0,9,2,29,140,1
122,CTR_09_green150_fly_pattern_240419_wing_extension_w1118_GtACR1.mp4,ATR,pattern,w1118_ATR_pattern,w1118,0,18,1,1,43,1
123,CTR_10_green150_fly_pattern_240419_wing_extension_w1118_GtACR1.mp4,ATR,pattern,w1118_ATR_pattern,w1118,0,53,3,53,180,1
124,CTR_11_green150_fly_pattern_240419_wing_extension_w1118_GtACR1.mp4,ATR,pattern,w1118_ATR_pattern,w1118,0,21,4,59,278,1
125,EXP_12_green150_fly_pattern_240419_wing_extension_JO15-2_GtACR1.mp4,ATR,pattern,jo15_ATR_pattern,jo15,0,14,5,28,314,1
126,EXP_13_green150_fly_pattern_240419_wing_extension_JO15-2_GtACR1.mp4,ATR,pattern,jo15_ATR_pattern,jo15,0,11,19,4,1133,1
