,file_name,init_frame,cop_frame,total_frame,wing_extension_frame,rate,group,light_condition
101,240627_EXP_26_0sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240627-163434_909682.log20240627-173200_640243.log_vid.avi,419,23905,23485,4398,0.18726846923568236,pIP10_GtACR1_event,event
102,240627_EXP_28_0sec_latency_pIP10_GtACR1_2mwcm_wing_extension_data_20240627-163434_909682.log20240627-175916_916987.log_vid.avi,908,334500,333591,43672,0.13091480285739124,pIP10_GtACR1_event,event
103,240628_CTR_02_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240628-102245_113496.log_vid.avi,0,57022,57021,9219,0.16167727679276056,pIP10_GFP_later,later
104,240628_CTR_03_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240628-103510_167280.log_vid.avi,1938,41507,39568,10763,0.27201273756570965,pIP10_GFP_later,later
105,240628_CTR_04_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240628-104755_937302.log_vid.avi,1279,30392,29112,6295,0.21623385545479526,pIP10_GFP_later,later
106,240628_CTR_05_1sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240628-110437_053483.log_vid.avi,641,8833,8191,1338,0.1633500183127823,pIP10_GFP_later,later
107,240628_CTR_06_0sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240628-111712_465305.log_vid.avi,7599,56446,48846,18101,0.3705728207017975,pIP10_GFP_event,event
108,240628_CTR_07_0sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240628-112815_566723.log_vid.avi,1072,28868,27795,840,0.030221262817053427,pIP10_GFP_event,event
109,240628_CTR_08_0sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240628-114024_370855.log_vid.avi,2139,33823,31683,6133,0.19357384086102958,pIP10_GFP_event,event
110,240628_CTR_09_0sec_latency_pIP10_20xGFP_2mwcm_wing_extension_data_20240628-115629_522804.log_vid.avi,764,50155,49390,15079,0.3053047175541608,pIP10_GFP_event,event
